ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO,NO2,CO,PM2.5,PM10
2021-01-07 18:20:00,0.0134448717585478,88.9568259983323,759.5732509020232,72.83733410650447,0.3548582145669951,-4.318504891696264,0.02611001887324174,0.04570033842458599,0.3357516784305017,0.015290395939958462,0.02056638401861159
2021-01-07 18:40:00,0.013457770168149303,88.95386016698058,759.5687755371006,72.6853486340922,0.35406096038737944,-4.316892717058732,0.0258827961941375,0.04617712663853686,0.3387888331504166,0.015306522926185905,0.0207215010140921
2021-01-07 19:00:00,0.013470461723395916,88.95089255058737,759.5640869587882,72.53359423561047,0.35326537612666753,-4.315261537756756,0.025693519551439337,0.046684934458588345,0.34233414353798997,0.015329193308020583,0.02090405489215464
2021-01-07 19:20:00,0.013482946235242793,88.94792326364234,759.5591894616545,72.38207564135814,0.3524714923418907,-4.3136113364795445,0.025547164100278907,0.047208650524516366,0.34626753553928113,0.015357848726359575,0.021110973858765366
2021-01-07 19:40:00,0.013495223522088835,88.94495242045028,759.5540873637732,72.23079758405854,0.3516793395963727,-4.311942096560532,0.025447524200564335,0.04773141137319197,0.3504376638417048,0.015391629946000565,0.021337399871314243
2021-01-07 20:00:00,0.013507293409659933,88.94198013512266,759.5487849982705,72.07976479915374,0.35088894846107066,-4.310253801981078,0.025397193418560234,0.04823566333558976,0.35467314214485923,0.015429392272725868,0.021576933734146243
2021-01-07 20:20:00,0.01351915573116299,88.9390065215989,759.5432867048611,71.9289820241804,0.3501003495105517,-4.308546437368604,0.025397555983726283,0.048704245990168774,0.35879461144967634,0.015469733865118119,0.021822033694231774
2021-01-07 20:40:00,0.013530810327086886,88.93603169361681,759.5375968214745,71.7784539990398,0.3493135733245558,-4.306819988000194,0.025448764684630813,0.04912138688041967,0.3626263950103188,0.015511036873523065,0.022064529752801806
2021-01-07 21:00:00,0.013542257045316034,88.93305576470185,759.5317196759112,71.62818546533512,0.34852865048406967,-4.305074439800631,0.02554968942202919,0.049473513616573886,0.36600665936855975,0.015551520832455175,0.022296203724094875
2021-01-07 21:20:00,0.013553495741190377,88.93007884820157,759.5256595776274,71.47818116677152,0.3477456115732549,-4.303309779348539,0.025697833475159873,0.04974981678633873,0.3687952904804752,0.015589307134076016,0.022509378434439023
2021-01-07 21:40:00,0.013564526277360177,88.92710105724106,759.5194208095463,71.32844584861257,0.3469644871761559,-4.301525993876503,0.025889228865460766,0.0499425315511778,0.3708790591040282,0.015622492736941438,0.022697459065314174
2021-01-07 22:00:00,0.013575348523937826,88.92412250474983,759.5130076200269,71.17898425756772,0.3461853078759981,-4.299723071267279,0.026118335635334465,0.05004694278224848,0.3721740387485092,0.01564923055046904,0.022855375462598422
2021-01-07 22:20:00,0.013585962358339533,88.92114330341654,759.5064242149153,71.02980114173084,0.34540810425451873,-4.297901000064184,0.02637798007197567,0.050061153253206606,0.37262559992403055,0.015667813236356694,0.02297988552229178
2021-01-07 22:40:00,0.013596367665470151,88.91816356573511,759.4996747497122,70.88090125035761,0.34463290689056925,-4.296059769466159,0.026659371956064687,0.04998568226848174,0.3722065888827843,0.01567675655146256,0.023069715157350686
2021-01-07 23:00:00,0.01360656433750443,88.91518340396112,759.492763321938,70.73228933376501,0.3438597463592734,-4.294199369326431,0.026952239520811237,0.04982297962369682,0.37091447182012627,0.015674877897341243,0.023125528032542874
2021-01-07 23:20:00,0.013616552274124928,88.91220293012819,759.4856939635048,70.58397014301647,0.34308865323014837,-4.292319790163725,0.02724511256969713,0.0495769448075139,0.368768266838144,0.015661365514386155,0.023149736180609462
2021-01-07 23:40:00,0.013626331382309136,88.9092222560385,759.4784706334425,70.43594842995579,0.3423196580669213,-4.290421023154128,0.027525769654536764,0.04925253336491777,0.36580599456662855,0.01563583382516358,0.02314617873415978
2021-01-08 00:00:00,0.01363590157650137,88.90624149324982,759.4710972105953,70.28822894686212,0.3415527914256603,-4.288503060137752,0.027781845843302448,0.048855512548980504,0.36208317099336806,0.015598360834560725,0.02311970853679362
