ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,NO2,PM2.5,PM10
2021-02-23 20:40:00,0.022367451392369585,76.00766517253965,745.6045339786941,22.762668002236058,1.5832852533297634,-3.1934632498675057,0.6061230647746282,0.02132375903924591,0.05407950691747859,0.016341251700381202,0.012258266273107133
2021-02-23 21:00:00,0.022362938885427213,76.00955206391092,745.6208618668375,22.7280761236562,1.5838476917918172,-3.2027450483865216,0.604814988069167,0.020997913208632764,0.05429832039327707,0.016325934462428755,0.012254791626568983
2021-02-23 21:20:00,0.022358467142033524,76.01163206244078,745.6374910579974,22.693962148662795,1.5844134263637906,-3.2120118284879817,0.6023566156930781,0.02058599010345244,0.05441932885067627,0.01630449176106931,0.012251798194005134
2021-02-23 21:40:00,0.02235403708524508,76.01390532207141,745.6544070406511,22.660327717856628,1.5849824542000954,-3.2212633326013913,0.5987628752315602,0.020098248008788372,0.054433458313445565,0.016278148316397758,0.012249109011484351
2021-02-23 22:00:00,0.02234964963651888,76.01637199139356,745.6715954282159,22.627174461658225,1.5855547723832786,-3.2304993035495846,0.5941188458204402,0.019548988343994766,0.05433079690933924,0.016247998084075493,0.012246534514920112
2021-02-23 22:20:00,0.022345305715700904,76.01903221361995,745.6890419680344,22.594504000302077,1.586130377922774,-3.239719484530154,0.5885745141484119,0.018955163348406936,0.0541016440859875,0.01621490989354946,0.012243899262787463
2021-02-23 22:40:00,0.022341006240997083,76.02188612663991,745.7067325502643,22.56231794362534,1.5867092677555237,-3.2489236191515536,0.5823330961194396,0.018334758384087203,0.053737895787490775,0.0161794699839519,0.012241065320691198
2021-02-23 23:00:00,0.02233675212899256,76.02493386295993,745.7246532164628,22.53061789116763,1.5872914387449488,-3.2581114514090457,0.5756341463254422,0.0177051497355381,0.05323461481028824,0.016141967159416713,0.012237949420586034
2021-02-23 23:20:00,0.02233254429452998,76.02817554974516,745.7427901680927,22.499405431955577,1.587876887681849,-3.2672827257138515,0.5687332870128714,0.017081642955446973,0.052591600222096094,0.016102421433604037,0.012234531862624378
2021-02-23 23:40:00,0.02232838365080834,76.03161130877673,745.7611297747143,22.468682144711142,1.5884656112836275,-3.276437186882122,0.5618807846621556,0.016476374891157608,0.05181475541287036,0.016060652069784243,0.012230856228513968
2021-02-24 00:00:00,0.022324271109145706,76.03524125644357,745.7796585820374,22.43844959739024,1.5890576061946304,-3.2855745801500422,0.5553013366164656,0.015897716914526835,0.05091706342534649,0.016016376402467107,0.012227020182007298
2021-02-24 00:20:00,0.022320207579101754,76.0390655037881,745.7983633197615,22.408709347409488,1.5896528689846408,-3.294694651172847,0.5491772854773626,0.015350253017235468,0.04991901037641573,0.015969327260474772,0.012223158792729786
2021-02-24 00:40:00,0.022316193968470788,76.04308415643459,745.8172309090908,22.379462941544773,1.5902513961503835,-3.3037971460287654,0.54363707104536,0.014835332057502069,0.048848349933454126,0.015919374600623447,0.012219422787936255
2021-02-24 01:00:00,0.022312231183015858,76.04729731462713,745.8362484701981,22.35071191571559,1.5908531841147833,-3.312881811239441,0.5387501066977399,0.01435211776737647,0.04773916850765117,0.015866636358659876,0.012215954791572057
2021-02-24 01:20:00,0.022308320126805236,76.05170507324284,745.8554033292736,22.322457795185933,1.5914582292262693,-3.321948393755709,0.5345285030473028,0.01389899262296959,0.046630284785189526,0.01581156459874332,0.012212866868878798
2021-02-24 01:40:00,0.02230446170178925,76.05630752170565,745.8746830254752,22.29470209415286,1.5920665277592994,-3.33099664097172,0.5309352477710143,0.013475120971248996,0.04556309018785362,0.015754995676206897,0.012210222524977409
2021-02-24 02:00:00,0.022300656808051447,76.06110474408067,745.8940753175365,22.26744631612698,1.59267807591447,-3.3400263007324087,0.5278976842042046,0.013081949586179564,0.044579000598810814,0.01569815702705745,0.01220802572819288
2021-02-24 02:20:00,0.022296906343656452,76.06609681902187,745.9135681902258,22.24069195336474,1.5932928698168833,-3.349037121333465,0.5253245045714133,0.012724423981761645,0.04371673683444093,0.015642627924850796,0.01220621861505456
2021-02-24 02:40:00,0.02229321120456071,76.07128381974131,745.9331498604549,22.214440487231112,1.593910905517934,-3.3580288515289904,0.5231240622997484,0.01241172696487114,0.04300967640616249,0.015590256576667133,0.012204688398073973
2021-02-24 03:00:00,0.022289572284721164,76.07666581407265,745.952808783213,22.188693387899896,1.594532178993872,-3.367001240542545,0.5212216614115625,0.01215739923015783,0.04248351893796571,0.01554304070388165,0.012203282781735821
